,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
1,4106.670631521609,True,400.0,0.16409616524900528,0.28902746006542174,1.8608599186935995
10,19.859436678507265,True,1983.0,0.0007935521728804952,0.0010419948659477567,1.3345586022924727
21,15.184564484739045,True,1179.0,0.0006067515577694815,0.0008754731157133065,1.4776753410939303
27,4052.3586279449773,True,1139.0,0.1619259421379757,0.22804627555033966,1.487062898479898
29,162.18516428939677,True,2167.0,0.006480666678230506,0.008669322814910793,1.3099641600272518
39,271.1929802116971,True,1108.0,0.010836449301194642,0.01672281336966279,1.4959034102133317
50,760.4036423749488,True,1814.0,0.030384545767399827,0.04185787705294799,1.3563498356169206
56,137.57384581413822,True,71.0,0.0054972367063908815,0.016150139210154124,2.888707667556041
57,34.843703876745934,True,773.0,0.0013923001629004212,0.002216075717028836,1.601473506223753
59,5.358424656333077,True,1629.0,0.00021411430737365447,0.0002814715142541683,1.3815369789376177
65,34.479875724823465,True,2153.0,0.0013777621563503342,0.0017955542928924436,1.3113692587649899
66,7.655651504775207,True,1908.0,0.00030590791595841156,0.0003945222549677411,1.3449369924106689
86,10747.560955852443,True,1879.0,0.4294558041977339,0.5189386245208134,1.3477071757370624
90,22544.57401407446,True,1941.0,0.9008460806391119,0.9173471040602449,1.3399253268253584
102,1064.835460764068,True,506.0,0.04254916729657427,0.0753986186239184,1.7703796688698623
106,382.8604785098669,True,618.0,0.015298508691355676,0.026639207875780665,1.689589842324672
109,785.4725256083173,True,1356.0,0.03138625931464545,0.04558855832749442,1.4317157766030624
144,2734.437742922067,True,195.0,0.10926387528658475,0.23914249155400255,2.270357993064886
147,582.4194376704853,True,630.0,0.023272574029828418,0.040058850225555706,1.6801392878247228
148,750.6399057911347,True,703.0,0.029994402053509735,0.04991560062495831,1.6377440402379138
149,1188.4469386155306,True,953.0,0.04748848951552512,0.07288219622786242,1.5404829596807703
160,1971.869016883572,True,472.0,0.07879281614655044,0.1376712119211535,1.7922027377948944
163,248.03621152386478,True,2704.0,0.009911140874445166,0.012833089880164227,1.2568106842758224
170,19246.1061624987,True,16.0,0.7690444402820554,2.625612119091275,4.248396172742465
171,11425.53361857519,True,144.0,0.45654653634520936,1.0029809354798018,2.466706288962866
177,12415.912700746385,True,169.0,0.49612054266548156,1.0337829851460163,2.3653727413398165
179,3879.7158885656886,True,2061.0,0.15502740703930679,0.19486095268225723,1.3246651910195693
181,703.8565120487112,True,2287.0,0.02812501047105856,0.03716679971081516,1.297532112400139
191,71.32946500990789,True,1228.0,0.0028502143774437744,0.004186315947894383,1.462789536195849
197,12375.907501502898,True,1672.0,0.4945219971830453,0.5995903502682796,1.375734965337778
198,1847.6897199171808,True,2037.0,0.07383080475973705,0.09584024187363288,1.3282557440545177
219,2704.793462484923,True,2663.0,0.10807933598996734,0.13135397851542419,1.26014299364456
258,2642.945113002714,True,419.0,0.10560797222899025,0.18809520582306968,1.8449457555494269
259,22.60976741076918,True,1183.0,0.0009034511072791968,0.0013170492900043244,1.4768048343544622
260,40.86271166134621,True,1291.0,0.0016328103436964042,0.002351116716433371,1.4464470225904462
261,853.8199364712204,True,268.0,0.03411731545078001,0.07185889695914965,2.083458533778256
262,1044.8438148750308,True,296.0,0.0417503322494618,0.08478085417823618,2.027155235348312
287,61.11793388194213,True,1926.0,0.0024421774906873707,0.0032819573580102524,1.3423604351891965
291,10379.139037999272,True,15.0,0.4147342379125425,1.593261861704347,4.270517659402514
294,1089.7786384556744,True,1159.0,0.04354585784606704,0.0645538418379327,1.4825001411898189
297,19233.594022208807,True,132.0,0.768544474634729,1.5604325967006556,2.5259974303193506
299,676.6699317628139,True,854.0,0.0270386770463843,0.043345472142596354,1.5718582369764267
303,5.164650386408977,True,2613.0,0.00020637138921157907,0.0002480791991443753,1.2645101404881938
309,116.64041625210757,True,2367.0,0.004660769449856452,0.006090865590566536,1.2889502348480322
310,8566.96589641397,True,79.0,0.34232262033141403,0.8848474927010886,2.8293263807852984
311,9300.704071470012,True,2966.0,0.37164165553704126,0.4169791334302669,1.2360661264683666
312,57.26308876466994,True,821.0,0.0022881438809506088,0.0036229419470415664,1.5832201212307653
313,1026.2399858851106,True,153.0,0.04100695220511112,0.10014078138930609,2.436011234455356
314,50.59279034695683,True,159.0,0.002021609140372285,0.004825484341407331,2.3907425954426578
326,173.5322004003713,True,2352.0,0.006934076576375422,0.009158741229098483,1.2908837711367465
347,9809.996415486276,True,1209.0,0.3919921847473135,0.5203998886139872,1.468715294693377
352,7417.974380030274,True,91.0,0.29641070806482345,0.7424358258466753,2.716667850780563
353,303.51226154020173,True,1145.0,0.012127877469040265,0.018582365544815044,1.4843055691488192
370,11.686822648985412,True,581.0,0.0004669872392306166,0.0007765806175423219,1.715900565638592
374,4826.66651140214,True,1297.0,0.19286607973316386,0.26194414260676263,1.4450335975485524
375,267.0359589561804,True,2349.0,0.010670341203395687,0.014209565154490324,1.2911205185040815
411,11.278398190590247,True,2785.0,0.0004506672337005612,0.0005458409134801897,1.2508983580159447
419,606.272917265494,True,1456.0,0.024225721939802367,0.034981762155890724,1.4109356851492025
421,7.050384683870558,True,2505.0,0.0002817223960629169,0.0003438755043830136,1.2744052799274623
425,1045.0504344211672,True,1832.0,0.04175858844486403,0.05663841338336297,1.353997942492232
430,50.773607223622456,True,2146.0,0.002028834301271576,0.0026587428246245266,1.3124995167310927
447,4538.476558526079,True,945.0,0.18135045786486398,0.2638142039933399,1.5435721454863363
449,10783.873912953248,True,107.0,0.43090681343216053,1.0152294331221707,2.628604363361103
460,463.7999166092017,True,1691.0,0.018532722632829908,0.026157721647842296,1.3724758722318533
480,327.45365150141316,True,2739.0,0.013084538140390527,0.0169327070498033,1.253933202060296
482,3005.246915972536,True,1675.0,0.12008498825112017,0.15853042923851726,1.3750561333725257
486,4.939896827254145,True,2191.0,0.00019739058687981081,0.0002449946185450219,1.3070311303685604
499,318.3279898875392,True,986.0,0.01271989090895625,0.02006848654501134,1.5285533716053656
517,7.451783470501669,True,2590.0,0.0002977616666867126,0.00036141178871058736,1.2662784943609815
522,76.40093370731685,True,1766.0,0.003052862371426389,0.004184753818010923,1.3632437362758218
525,152.16156729363468,True,2209.0,0.00608013934682469,0.008085794587642104,1.3046434919808587
546,6.249139899568204,True,764.0,0.0002497059018448096,0.0004473736797883172,1.6057227577975217
