001  00111 |Loss: 1.101 | Accuracy: 81.222% 
001  00112 |Loss: 1.100 | Accuracy: 81.222% 
001  00113 |Loss: 1.096 | Accuracy: 81.388% 
001  00114 |Loss: 1.094 | Accuracy: 81.524% 
001  00115 |Loss: 1.091 | Accuracy: 81.658% 
001  00116 |Loss: 1.087 | Accuracy: 81.762% 
001  00117 |Loss: 1.083 | Accuracy: 81.891% 
001  00118 |Loss: 1.080 | Accuracy: 81.992% 
001  00119 |Loss: 1.077 | Accuracy: 82.117% 
001  00120 |Loss: 1.075 | Accuracy: 82.188% 
001  00121 |Loss: 1.071 | Accuracy: 82.335% 
001  00122 |Loss: 1.069 | Accuracy: 82.428% 
001  00123 |Loss: 1.067 | Accuracy: 82.470% 
001  00124 |Loss: 1.064 | Accuracy: 82.560% 
001  00125 |Loss: 1.063 | Accuracy: 82.600% 
001  00126 |Loss: 1.060 | Accuracy: 82.688% 
001  00127 |Loss: 1.057 | Accuracy: 82.825% 
001  00128 |Loss: 1.055 | Accuracy: 82.861% 
001  00129 |Loss: 1.053 | Accuracy: 82.897% 
001  00130 |Loss: 1.050 | Accuracy: 83.029% 
001  00131 |Loss: 1.048 | Accuracy: 83.111% 
001  00132 |Loss: 1.045 | Accuracy: 83.191% 
001  00133 |Loss: 1.044 | Accuracy: 83.224% 
001  00134 |Loss: 1.042 | Accuracy: 83.256% 
001  00135 |Loss: 1.041 | Accuracy: 83.310% 
001  00136 |Loss: 1.040 | Accuracy: 83.341% 
001  00137 |Loss: 1.038 | Accuracy: 83.417% 
001  00138 |Loss: 1.035 | Accuracy: 83.514% 
001  00139 |Loss: 1.034 | Accuracy: 83.521% 
001  00140 |Loss: 1.031 | Accuracy: 83.638% 
001  00141 |Loss: 1.030 | Accuracy: 83.621% 
001  00142 |Loss: 1.029 | Accuracy: 83.627% 
001  00143 |Loss: 1.028 | Accuracy: 83.632% 
001  00144 |Loss: 1.027 | Accuracy: 83.637% 
001  00145 |Loss: 1.026 | Accuracy: 83.685% 
001  00146 |Loss: 1.025 | Accuracy: 83.669% 
